DCTERMS,606,8
FOAF,398,13
ADMS,29,11
EVENT,39,9
ORG,34,13
PROV,62,6
SHEMA,74,12
TIME,44,6
CC,140,5
DOAP,21,8
GEO,51,4
QB,27,9
SKOS,269,4
VANN,319,3
VOID,37,11
VS,104,3
BIBO,38,12
GR,44,10
SSN,24,5
DCTYPE,25,4
SIOK,22,9
DCAT,20,17
VOAF,19,13
GN,18,16
DUL,18,3
VCARD,17,3
LODE,12,10
OA,11,7
P-PLAN,11,7
BIO,11,19
MO,10,24
AgRelOn,2,10
ALGO,1,9
BAG,0,6
BBC,2,11
BBCCMS,1,9
BBCPROV,9,12
BEING,1,10
BEVON,0,27
BF,0,6
BIOTOP,0,5
BIRO,1,6
BLT,0,11
C4O,1,10
CAL,4,3
CBO,0,18
CDTYPE,1,7
CITO,1,7
CLD,0,7
COGS,0,8
COLD,0,10
COMM,0,8
CRO,0,10
DCE,428,3
FEA,1,6
FOOD,3,10
FOWL,4,3
FRBR,19,10
FRAD,0,6
FRESNEL,1,7
GEN,0,14
GEOFLA,1,10
GEOM,1,10
GTS,0,9
H2O,3,8
ITSMO,0,6
HR,0,6
HYDRA,0,9
ISOTHES,4,11
JUSO,2,37
KDO,0,8
LDP,3,8
LEMON,1,5
LEXINFO,0,7
LI,2,8
LINGVO,0,18